Time [ms],Voltage [V], Current [mA]
549,1.17,73.84
60619,1.12,73.64
120690,1.13,74.32
180760,1.13,74.84
240831,1.14,75.16
300901,1.13,75.52
360971,1.14,75.92
421042,1.14,76.32
481112,1.15,76.80
541182,1.15,76.96
601252,1.16,77.32
661322,1.16,77.64
721393,1.16,77.96
781463,1.17,78.16
841533,1.17,78.56
901604,1.18,79.16
961674,1.19,79.56
1021744,1.20,80.04
1081814,1.20,80.36
1141884,1.21,80.72
1201954,1.21,80.92
1262024,1.21,81.32
1322095,1.22,81.68
1382165,1.23,81.92
1442235,1.22,82.16
1502308,1.24,82.76
1562379,1.24,82.92
1622449,1.25,83.32
1682519,1.24,83.76
1742589,1.23,84.08
1802659,1.24,84.60
1862730,1.25,84.96
1922801,1.25,85.36
1982871,1.26,85.72
2042942,1.27,85.76
2103012,1.28,86.16
2163083,1.29,86.64
2223153,1.29,87.12
2283224,1.30,87.44
2343293,1.31,87.96
2403364,1.31,88.08
2463434,1.30,88.76
2523505,1.31,88.96
2583575,1.31,89.56
2643645,1.32,89.76
2703716,1.33,90.00
2763786,1.33,90.44
2823857,1.34,90.84
2883927,1.34,90.84
2943997,1.35,91.32
3004067,1.36,91.72
3064141,1.37,92.04
3124211,1.37,92.40
3184281,1.38,92.72
3244352,1.38,93.12
3304422,1.38,93.32
3364493,1.39,93.92
3424563,1.40,94.00
3484634,1.41,94.32
3544704,1.41,94.48
3604774,1.41,94.68
3664845,1.42,94.96
3724915,1.43,95.16
3784986,1.43,95.40
3845057,1.43,95.76
3905127,1.44,96.12
3965198,1.45,96.44
4025268,1.45,96.64
4085339,1.44,96.84
4145409,1.45,97.00
4205479,1.45,97.20
4265549,1.46,97.72
4325620,1.46,97.88
4385690,1.46,98.24
4445761,1.47,98.52
4505831,1.47,98.84
4565902,1.48,98.96
4625970,1.48,99.16
4686041,1.49,99.24
4746110,1.49,99.16
4806181,1.49,99.24
4866251,1.50,99.88
4926322,1.51,100.20
4986392,1.51,100.48
5046463,1.52,100.92
5106534,1.52,101.16
5166604,1.52,101.16
5226675,1.53,101.40
5286745,1.53,101.80
5346816,1.54,101.96
5406885,1.54,102.04
5466956,1.54,102.44
5527026,1.55,102.56
5587097,1.55,102.52
5647168,1.54,102.28
5707239,1.54,102.24
5767310,1.54,102.24
5827380,1.54,102.24
5887451,1.54,102.56
5947522,1.54,102.64
6007591,1.56,103.20
6067665,1.57,103.56
6127735,1.57,103.80
6187806,1.58,103.92
6247876,1.58,103.76
6307947,1.58,104.08
6368018,1.59,104.32
6428088,1.59,104.40
6488159,1.59,104.68
6548229,1.60,105.00
6608300,1.60,104.72
6668370,1.60,104.92
6728440,1.60,104.72
6788511,1.60,104.64
6848581,1.60,104.60
6908652,1.60,104.20
6968723,1.61,104.56
7028793,1.61,104.76
7088864,1.61,104.56
7148934,1.61,104.84
7209005,1.61,104.92
7269075,1.62,105.04
7329145,1.62,105.52
7389216,1.63,105.84
7449316,1.63,106.04
7509387,1.63,105.96
